3007885,|/8095746|/8095082|/8084217|/8084098|/8066537|/8066459|/8066403|/8058036|/8055804|/8037233|/8037138|/8037007|/8036946|/8036629|/8031985|/8020335|/8019481|/7767689|/7767503|/7767398|/7764528|/7758847|/7754069|/7744097|/7743921|/7740184|/7734091|/7729615|/7724488|/7724473|/7720042|/7715830|/7711465|/7707112|/7706749|/7695471|/7695164|/7694090|/7688899|/7688826|/7683724|/7682834|/7678622|/7662968|/7662923|/7662892|/7662404|/7660626|/7655982|/7652301|/7648360|/7648126|/7639943|/7636508|/7635718|/7630770|/7628854|/7622689|/7622568|/7616112|/7610435|/7609309|/7606132|/7604044|/7597701|/7594237|/7590964|/7587438|/7584791|/7579163|/7577170|/7574304|/7568691|/7565464|/7562761|/7560568|/7553972|/7548882|/7539404|/7534386|/7531736|/7522281|/7517489|/7511733|/7511105
3305114,|/10204581|/10204714|/10204747|/10205635|/10178570|/10156006|/10155965|/10155895|/10155876|/10155855|/10155841|/10038673|/10040292|/10055513|/10108865|/9979255|/9978940|/10002824|/9846001|/9660566|/9741666|/9741707|/9741752|/9741774|/9741822|/9741838|/9741853|/9741863|/9753477|/9753490|/9741895|/9658562|/9714608|/8887748|/8888410|/8888361|/8844549|/8842902|/8845717|/8596488|/8608202|/8623983|/8124859|/8124837|/8124821|/8124808|/8591859|/8124618|/8124590|/7875547|/8124635|/8124702|/7875540|/7875525|/7875506|/7875486|/7875457|/7875435|/7875421|/7875407|/7875390|/7819289|/7819245|/7819214|/7814703|/7787793|/7787757|/7766183|/7760454|/7713724|/7710060|/7707355|/7697408|/7693386|/7693358|/7688873|/7688823
1627296,|/5353081|/5330386|/5211203|/5191514|/5097014|/5061137|/5037785|/5037668|/4970648|/4841673|/4932624|/4909362|/4909274|/4907426|/4907381|/4907347|/4859855|/4822254|/4822221|/4822127|/4817246|/4817012|/4811823|/4799016|/4798900|/4783716|/4783397|/4741896|/4741824|/4733377|/4728357|/4728239|/4727960|/4727881|/4726330|/4679205|/4679183|/4655415|/4648646|/4627782|/4609052|/4540013|/4509326|/4312258|/4312234|/4298201|/4293292|/4277096|/4277088|/4270283|/4270270|/4270138|/4270126|/4270119|/4270112|/4270109|/4270100|/4270090|/4270085|/4270076|/4269988|/4269980|/4269975|/4269964|/4269928|/4269891|/4269858|/4269822|/4269613|/4269601|/4269568|/4269462|/4269422|/4269395|/4255137
2475870,|/10239167|/10233633|/10155539|/9955504|/9904957|/9904945|/9741195|/9713434|/9710068|/9668609|/9532048|/9479304|/9434130|/9307289|/9264730|/9145204|/9097923|/9039339|/8986988|/8916995|/8880398|/8770227|/8724039|/8666080|/8652870|/8636750|/8626823|/8620958|/8593531|/8584204|/8581321|/8548528|/8516535|/8500785|/8348609|/8496098|/8475219|/8385878|/8149030|/8348609|/8311472|/8149030|/8128269|/8101908|/8062422|/8029064|/7978667|/7868323|/7833979|/7778804|/7753303|/7725337|/7610488|/7547744|/7506050|/7438494|/7331719|/7289157|/7236802|/7110259|/7076181|/7031238|/6988562|/6947322|/6923989|/6855223|/6797486|/6710514|/6397485
1677393,|/10319057|/10273369|/9976624|/9583264|/9349158|/8937170|/8682890|/8105969|/7847822|/7600882|/7520831|/7288441|/7158650|/6738124|/6499288|/6364630|/6304697|/6209168|/6161729|/6105335|/6032961|/5994435|/5944080|/5930178|/5865384|/5841415|/5826107|/5811807|/5803955|/5785349|/5785358|/5735886|/5716391|/5597031|/5558862|/5545266|/5529270|/5519712|/5496690|/5471332|/5416924|/5392889|/5385757|/5373709|/5360152|/5344741|/5335591|/5319790|/5306772|/5299513|/5272052|/5258602|/5251789|/5178851|/5169993|/5166303|/5144100|/5133406|/5103314|/5081541|/5022694|/4912060|/4909276|/4882628|/4870311|/4858366
850215,|/9875930|/9640350|/9490752|/9129323|/8912661|/8885804|/8871520|/8837004|/8805526|/8791888|/8696378|/8659257|/8483425|/8243724|/8198199|/8138592|/7940450|/7862015|/7740303|/7447528|/7001341|/6933163|/6900291|/6822768|/6804122|/6759295|/6731231|/6702795|/6597783|/6512258|/6236761|/6148669|/6031412|/5818374|/5771178|/5707144|/5642021|/5477726|/5457797|/5427491|/5346251|/5297840|/5263556|/5201551|/5183435|/5158602|/5042531|/5012193|/4972699|/4916029|/4776570|/4616393|/4683611|/4704653|/4722696|/4394368|/4291729|/4244809|/4077433
822124,|/9672632|/8520583|/7700464|/7676999|/7482384|/7072616|/6682254|/6667940|/6667912|/6667895|/6663447|/6663418|/6133919|/6071689|/6071684|/6056789|/6053700|/5862994|/5799351|/5573734|/5480093|/5386607|/5346769|/5346093|/5345650|/5345592|/5345571|/5345471|/5345344|/5314917|/5307615|/5026349|/4847937|/4836578|/4836559|/4836540|/4705818|/4606510|/4552118|/4524812|/4419010|/4393770|/4360467|/4291027|/4225111|/4189216|/4189152|/4189062|/4189023|/4189000|/4188897|/4188842|/4188813|/4145137|/4067046
4407225,|/10367711|/10143092|/10102711|/9886632|/9872471|/9862795|/9858077|/9857327|/9837665|/9825673|/9822161|/9819199|/9812057|/9804870|/9777195|/9777125|/9678607|/9652494|/9648231|/9639786|/9639764|/9639729|/9633539|/9617921|/9616654|/9604660|/9604641|/9598826|/9571705|/9570086|/9558096|/9550933|/9550763|/9549725|/9547243|/9547163|/9543574|/9522635|/9521910|/9518724|/9518428|/9518372|/9518330|/9506387|/9503848|/9503451|/9502934|/9502304|/9502110|/9499427|/9499410|/9499392
1566222,|/10318022|/10308469|/10145869|/10074529|/10073747|/10066986|/10015196|/9768805|/9764801|/9747852|/9746801|/9466411|/9127532|/8956382|/8801181|/8796965|/8716019|/8641877|/8609335|/8559622|/8440359|/8342348|/8237331|/8215321|/8208751|/8078903|/7940584|/7937255|/7925978|/7574450|/7557593|/7413563|/7367983|/7273176|/7212691|/7136838|/7103606|/6985078|/6852963|/6791351|/6746506|/6683828|/6679396|/6649812|/6529520|/6489290|/6285169|/6267705|/6103321|/6063842|/6036361|/6029297
3873995,|/10071714|/10069453|/9902694|/9867562|/9861719|/9791217|/9786938|/9718997|/9706823|/9700433|/9659263|/9655674|/9653940|/9648967|/9643622|/9443720|/9440345|/9439281|/9432521|/9425146|/9409565|/9369896|/9365026|/9363599|/9359587|/9354036|/9350113|/9343657|/9341674|/9192548|/9181640|/9170282|/9156146|/9150014|/9144394|/9142302|/9137460|/9125068|/9106210|/9105015|/9101157|/9058649|/9057751|/9053019|/9046450|/9027751|/8787031|/8777269|/8772411|/8733911|/8726940|/8712047
